date,id,habitat,site,video.file,time,species,tl,bite_on,bites
1.12.17,15,Crest,Bird,GP010008,,Scarus schlegeli,25,Turf,10
1.12.17,15,Crest,Bird,GP010008,,Scarus schlegeli,25,Turf,22
1.12.17,15,Crest,Bird,GP010008,,Ctenochaetus striatus,11,Propagules,5
1.12.17,15,Crest,Bird,GP020008,0:26:31,Ctenochaetus striatus,11,Propagules,2
1.12.17,15,Crest,Bird,GP020008,,Scarus schlegeli,25,Propagules,2
1.12.17,15,Crest,Bird,GP020008,,Scarus schlegeli,25,Turf,5
1.12.17,15,Crest,Bird,GP020008,,Scarus schlegeli,25,Turf,37
1.12.17,15,Crest,Bird,GP020008,,Scarus schlegeli,25,Propagules,26
1.12.17,15,Crest,Bird,GP020008,,Scarus schlegeli,25,Turf,23
1.12.17,15,Crest,Bird,GP020008,,Ctenochaetus striatus,11,Propagules,2
1.12.17,15,Crest,Bird,GP020008,,Ctenochaetus striatus,11,Turf,8
1.12.17,15,Crest,Bird,GP020008,,Scarus schlegeli,25,Propagules,3
1.12.17,15,Crest,Bird,GP020008,,Scarus schlegeli,25,Turf,2
1.12.17,15,Crest,Bird,GP020008,,Acanthurus nigrofuscus,12,Propagules,3
1.12.17,15,Crest,Bird,GP020008,,Ctenochaetus striatus,11,Turf,1
1.12.17,15,Crest,Bird,GP030008,0:26:31,Scarus schlegeli,25,Propagules,1
1.12.17,15,Crest,Bird,GP030008,,Ctenochaetus striatus,11,Turf,3
1.12.17,15,Crest,Bird,GP030008,,Acanthurus nigrofuscus,12,Propagules,4
1.12.17,15,Crest,Bird,GP040008,0:26:31,Acanthurus nigrofuscus,12,Propagules,9
1.12.17,15,Crest,Bird,GP050008,0:26:31,Scarus schlegeli,25,Turf,18
1.12.17,15,Crest,Bird,GP050008,,Scarus schlegeli,25,Propagules,4
1.12.17,15,Crest,Bird,GP050008,,Acanthurus nigrofuscus,12,Propagules,15
1.12.17,15,Crest,Bird,GP050008,,Acanthurus nigrofuscus,12,Turf,2
1.12.17,15,Crest,Bird,GP050008,,Scarus schlegeli,25,Turf,5
1.12.17,15,Crest,Bird,GP050008,,Scarus schlegeli,25,Propagules,12
1.12.17,15,Crest,Bird,GP050008,,Pomacentrus wardi,7,Turf,1
1.12.17,15,Crest,Bird,GP050008,,Acanthurus nigrofuscus,12,Propagules,14
1.12.17,15,Crest,Bird,GP050008,,Acanthurus nigrofuscus,12,Turf,16
1.12.17,15,Crest,Bird,GP050008,,Ctenochaetus striatus,11,Propagules,5
1.12.17,15,Crest,Bird,GP050008,,Ctenochaetus striatus,11,Turf,5
1.12.17,15,Crest,Bird,GP060008,0:12:45,Acanthurus nigrofuscus,12,Turf,5
1.12.17,15,Crest,Bird,GP060008,,Scarus schlegeli,25,Propagules,9
1.12.17,15,Crest,Bird,GP060008,,Scarus schlegeli,25,Turf,10
1.12.17,15,Crest,Bird,GP060008,,Scarus schlegeli,25,Turf,4
1.12.17,15,Crest,Bird,GP060008,,Scarus schlegeli,25,Propagules,2
1.12.17,16,Crest,South,GOPR0032,0:26:31,,,,
1.12.17,16,Crest,South,GP010032,0:26:31,Ecsenius stictus,4,Turf,5
1.12.17,16,Crest,South,GP010032,,Pomacentrus australis,4,Turf,5
1.12.17,16,Crest,South,GP010032,,Pomacentrus australis,4,Propagules,1
1.12.17,16,Crest,South,GP020032,0:26:31,Ctenochaetus striatus,12,Turf,2
1.12.17,16,Crest,South,GP020032,,Pomacentrus chrysurus,5,Propagules,7
1.12.17,16,Crest,South,GP020032,,Ctenochaetus striatus,12,Propagules,1
1.12.17,16,Crest,South,GP020032,,Pomacentrus chrysurus,5,Propagules,7
1.12.17,16,Crest,South,GP020032,,Ctenochaetus striatus,12,Turf,2
1.12.17,16,Crest,South,GP030032,0:26:31,Pomacentrus chrysurus,5,Propagules,3
1.12.17,16,Crest,South,GP040032,0:26:31,Pomacentrus moluccensis,4,Turf,5
1.12.17,16,Crest,South,GP050032,0:26:31,Pomacentrus moluccensis,4,Turf,8
1.12.17,16,Crest,South,GP050032,,Pomacentrus moluccensis,4,Turf,8
1.12.17,16,Crest,South,GP050032,,Pomacentrus moluccensis,4,Propagules,2
1.12.17,16,Crest,South,GP050032,,Pomacentrus chrysurus,5,Propagules,3
1.12.17,16,Crest,South,GP050032,,Pomacentrus wardi,4,Propagules,4
1.12.17,16,Crest,South,GP060032,0:03:14,,,,
1.12.17,17,Crest,South,GOPR0391,0:26:04,,,,
1.12.17,17,Crest,South,GP010391,0:26:04,,,,
1.12.17,17,Crest,South,GP020391,0:26:04,Ctenochaetus striatus,12,Propagules,2
1.12.17,17,Crest,South,GP020391,,Ctenochaetus striatus,12,Turf,3
1.12.17,17,Crest,South,GP030391,0:26:04,Ctenochaetus striatus,12,Turf,6
1.12.17,17,Crest,South,GP040391,0:26:04,,,,
1.12.17,17,Crest,South,GP050391,0:13:15,,,,
1.12.17,18,Crest,South,GOPR0521,0:26:31,Ecsenius stictus,3,Turf,21
1.12.17,18,Crest,South,GOPR0521,0:26:31,Ecsenius stictus,3,Propagules,3
1.12.17,18,Crest,South,GOPR0521,0:26:31,Ecsenius stictus,3,Turf,27
1.12.17,18,Crest,South,GOPR0521,0:26:31,Ecsenius stictus,3,Turf,15
1.12.17,18,Crest,South,GOPR0521,0:26:31,Ecsenius stictus,3,Turf,29
1.12.17,18,Crest,South,GOPR0521,0:26:31,Ecsenius stictus,3,Turf,26
1.12.17,18,Crest,South,GP010521,0:26:31,Ecsenius stictus,3,Turf,14
1.12.17,18,Crest,South,GP010521,,Ecsenius stictus,3,Turf,20
1.12.17,18,Crest,South,GP010521,,Ecsenius stictus,3,Turf,22
1.12.17,18,Crest,South,GP010521,,Ecsenius stictus,3,Turf,23
1.12.17,18,Crest,South,GP010521,,Ecsenius stictus,2,Turf,15
1.12.17,18,Crest,South,GP010521,,Ecsenius stictus,3,Turf,24
1.12.17,18,Crest,South,GP020521,0:26:31,Ecsenius stictus,3,Turf,10
1.12.17,18,Crest,South,GP020521,,Ecsenius stictus,2,Turf,19
1.12.17,18,Crest,South,GP020521,,Ecsenius stictus,2,Turf,15
1.12.17,18,Crest,South,GP020521,,Ecsenius stictus,2,Turf,25
1.12.17,18,Crest,South,GP030521,0:26:31,Ecsenius stictus,3,Turf,15
1.12.17,18,Crest,South,GP030521,,Ecsenius stictus,3,Turf,25
1.12.17,18,Crest,South,GP030521,,Ecsenius stictus,2,Turf,40
1.12.17,18,Crest,South,GP030521,,Ecsenius stictus,2,Turf,13
1.12.17,18,Crest,South,GP040521,0:26:31,Ecsenius stictus,3,Turf,43
1.12.17,18,Crest,South,GP040521,,Ecsenius stictus,3,Turf,24
1.12.17,18,Crest,South,GP040521,,Ecsenius stictus,2,Turf,12
1.12.17,18,Crest,South,GP040521,,Ecsenius stictus,2,Turf,20
1.12.17,18,Crest,South,GP050521,0:26:31,Pomacentrus chrysurus,5,Propagules,2
1.12.17,18,Crest,South,GP050521,,Ecsenius stictus,3,Turf,8
1.12.17,18,Crest,South,GP050521,,Ecsenius stictus,3,Turf,3
1.12.17,18,Crest,South,GP050521,,Ecsenius stictus,3,Turf,23
1.12.17,18,Crest,South,GP050521,,Ecsenius stictus,2,Turf,9
1.12.17,18,Crest,South,GP060521,0:08:54,Ecsenius stictus,2,Turf,19
1.12.17,18,Crest,South,GP060521,,Ecsenius stictus,2,Turf,8
1.12.17,18,Crest,South,GP060521,,Ecsenius stictus,3,Turf,17
1.12.17,19,Crest,South,GOPR0001,0:26:14,Ecsenius stictus,3,Propagules,9
1.12.17,19,Crest,South,GOPR0001,,Ecsenius stictus,3,Turf,4
1.12.17,19,Crest,South,GP010001,0:26:14,Ecsenius stictus,4,Turf,21
1.12.17,19,Crest,South,GP010001,,Ecsenius stictus,4,Propagules,7
1.12.17,19,Crest,South,GP010001,,Ecsenius stictus,4,Turf,7
1.12.17,19,Crest,South,GP010001,,Ecsenius stictus,4,Turf,13
1.12.17,19,Crest,South,GP020001,0:26:14,Ecsenius stictus,3,Turf,13
1.12.17,19,Crest,South,GP020001,,Ecsenius stictus,3,Propagules,2
1.12.17,19,Crest,South,GP020001,,Ecsenius stictus,3,Turf,10
1.12.17,19,Crest,South,GP030001,0:26:14,Ecsenius stictus,3,Turf,19
1.12.17,19,Crest,South,GP030001,,Ecsenius stictus,3,Turf,5
1.12.17,19,Crest,South,GP030001,,Ecsenius stictus,2,Propagules,16
1.12.17,19,Crest,South,GP030001,,Ecsenius stictus,2,Propagules,12
1.12.17,19,Crest,South,GP040001,0:26:14,Ecsenius stictus,3,Propagules,9
1.12.17,19,Crest,South,GP040001,,Scarus schlegeli,25,Turf,17
1.12.17,19,Crest,South,GP040001,,Ecsenius stictus,3,Propagules,18
1.12.17,19,Crest,South,GP040001,,Scarus schlegeli,25,Turf,9
1.12.17,19,Crest,South,GP050001,0:26:14,Ecsenius stictus,3,Propagules,1
1.12.17,19,Crest,South,GP050001,,Ecsenius stictus,3,Turf,14
1.12.17,19,Crest,South,GP060001,0:08:34,Ecsenius stictus,3,Propagules,20
1.12.17,19,Crest,South,GP060001,,Pomacentrus chrysurus,5,Propagules,1
